Description,Orders,Revenue
ANTIQUE SILVER TEA GLASS ENGRAVED,278,9339.34
KNITTED UNION FLAG HOT WATER BOTTLE,319,9329.17
TRADITIONAL MODELLING CLAY,336,9311.47
TRADITIONAL KNITTING NANCY,509,9297.87
SET OF 4 KNICK KNACK TINS DOILY ,312,9270.5
BLUE HARMONICA IN BOX ,517,9222.63
FAWN BLUE HOT WATER BOTTLE,379,9218.55
RED RETROSPOT ROUND CAKE TINS,257,9188.25
REGENCY TEA PLATE GREEN ,270,9184.9
PANTRY ROLLING PIN,197,9184.28
WOODEN SCHOOL COLOURING SET,395,9072.87
EDWARDIAN PARASOL RED,270,9055.87
REGENCY MILK JUG PINK ,272,9008.0
REVOLVER WOODEN RULER ,285,8950.29
3 TIER CAKE TIN RED AND CREAM,136,8737.78
STRAWBERRY LUNCH BOX WITH CUTLERY,426,8734.64
LADIES & GENTLEMEN METAL SIGN,367,8699.13
SET OF 20 KIDS COOKIE CUTTERS,416,8697.27
PINK CREAM FELT CRAFT TRINKET BOX ,535,8648.49
GINGERBREAD MAN COOKIE CUTTER,554,8625.13
60 TEATIME FAIRY CAKE CASES,657,8618.37
SET OF 6 SOLDIER SKITTLES,339,8597.5
AREA PATROLLED METAL SIGN,374,8552.22
VINTAGE DOILY JUMBO BAG RED ,234,8535.26
VINTAGE HEADS AND TAILS CARD GAME ,485,8531.41
JUMBO BAG PAISLEY PARK,302,8529.24
HAND WARMER RED RETROSPOT,341,8526.12
ENAMEL BREAD BIN CREAM,326,8519.0
"RECORD FRAME 7"" SINGLE SIZE ",196,8450.82
FAMILY ALBUM WHITE PICTURE FRAME,286,8416.64
T-LIGHT GLASS FLUTED ANTIQUE,260,8378.89
SWEETHEART CAKESTAND 3 TIER,326,8376.6
POTTERING IN THE SHED METAL SIGN,371,8372.7
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",241,8354.87
BOX OF 6 MINI VINTAGE CRACKERS,329,8350.41
SET 2 PANTRY DESIGN TEA TOWELS,311,8323.17
FELTCRAFT BUTTERFLY HEARTS,436,8314.55
SET OF 3 NOTEBOOKS IN PARCEL,319,8283.75
MULTI COLOUR SILVER T-LIGHT HOLDER,306,8269.45
BOX OF 6 MINI 50'S CRACKERS,365,8216.79
LARGE WHITE HEART OF WICKER,511,8184.7
HANGING JAM JAR T-LIGHT HOLDER,310,8164.12
3 HEARTS HANGING DECORATION RUSTIC,261,8161.21
SET 6 PAPER TABLE LANTERN HEARTS ,263,8129.43
VINTAGE RED KITCHEN CABINET,38,8125.0
ICE CREAM PEN LIP GLOSS ,213,8077.31
FELTCRAFT PRINCESS CHARLOTTE DOLL,401,8071.51
DOORMAT MULTICOLOUR STRIPE,141,8053.22
SET OF 6 RIBBONS VINTAGE CHRISTMAS,329,8051.83
ALARM CLOCK BAKELIKE ORANGE,359,7995.63
CHILDRENS CUTLERY SPACEBOY ,316,7974.38
RED METAL BOX TOP SECRET,221,7962.03
RECIPE BOX RETROSPOT ,441,7952.9
SET OF 72 RETROSPOT PAPER  DOILIES,365,7947.37
SET/10 RED POLKADOT PARTY CANDLES,336,7799.18
TRAVEL SEWING KIT,394,7787.36
GRAND CHOCOLATECANDLE,249,7785.05
PICNIC BASKET WICKER SMALL,232,7746.7
SET OF 3 HEART COOKIE CUTTERS,521,7741.84
FELTCRAFT CHRISTMAS FAIRY,302,7722.68
JUMBO BAG TOYS ,245,7689.28
ZINC FOLKART SLEIGH BELLS,339,7665.11
HAND WARMER RED LOVE HEART,371,7660.2
FAMILY PHOTO FRAME CORNICE,233,7646.84
BLUE DINER WALL CLOCK,338,7528.93
SET 6 SCHOOL MILK BOTTLES IN CRATE,281,7510.29
PAINTED METAL PEARS ASSORTED,352,7491.4
60 CAKE CASES VINTAGE CHRISTMAS,466,7417.85
SMALL GLASS HEART TRINKET POT,342,7412.56
PLASTERS IN TIN VINTAGE PAISLEY ,480,7346.69
OPEN CLOSED METAL SIGN,341,7311.36
WOODLAND CHARLOTTE BAG,531,7277.24
PACK OF 12 LONDON TISSUES ,382,7266.71
WOODEN BOX OF DOMINOES,449,7215.95
 SET 2 TEA TOWELS I LOVE LONDON ,192,7208.95
CHOCOLATE THIS WAY METAL SIGN,374,7208.52
SILVER HANGING T-LIGHT HOLDER,250,7193.25
SET OF 4 KNICK KNACK TINS LONDON ,233,7170.6
FELTCRAFT PRINCESS LOLA DOLL,378,7166.94
PACK OF 6 BIRDY GIFT TAGS,319,7149.7
CHARLOTTE BAG SUKI DESIGN,585,7138.65
SET OF 4 KNICK KNACK TINS DOILEY ,172,7136.85
CHRISTMAS CRAFT LITTLE FRIENDS,421,7128.1
CREAM CUPID HEARTS COAT HANGER,241,7125.38
ZINC METAL HEART DECORATION,476,7108.68
SWEETHEART RECIPE BOOK STAND,287,7084.65
RED SPOTTY BISCUIT TIN,203,7071.2
 SPACEBOY BABY GIFT SET,142,7065.5
FUNKY DIVA PEN,155,7010.94
36 DOILIES VINTAGE CHRISTMAS,160,7006.25
RAIN PONCHO RETROSPOT,180,6964.63
JINGLE BELL HEART ANTIQUE SILVER,197,6962.04
TRIPLE PHOTO FRAME CORNICE ,208,6932.83
GIANT 50'S CHRISTMAS CRACKER,310,6926.11
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,321,6923.17
SWEETHEART CERAMIC TRINKET BOX,381,6875.86
PACK OF 72 SKULL CAKE CASES,499,6859.31
NATURAL SLATE CHALKBOARD LARGE ,303,6833.2
SMALL WHITE HEART OF WICKER,582,6832.83
HANGING HEART ZINC T-LIGHT HOLDER,412,6830.59
GIRAFFE WOODEN RULER,234,6820.74
SET/2 RED RETROSPOT TEA TOWELS ,219,6820.01
VINTAGE CREAM DOG FOOD CONTAINER,292,6779.35
WHITE WOOD GARDEN PLANT LADDER,379,6778.81
YOU'RE CONFUSING ME METAL SIGN ,342,6762.57
RETROSPOT PARTY BAG + STICKER SET,267,6749.23
VINTAGE DOILY TRAVEL SEWING KIT,349,6747.9
SET 6 PAPER TABLE LANTERN STARS ,209,6739.63
RED FLORAL FELTCRAFT SHOULDER BAG,257,6734.31
SET OF 3 BUTTERFLY COOKIE CUTTERS,498,6718.9
LUNCH BOX WITH CUTLERY RETROSPOT ,324,6717.79
DOORMAT 3 SMILEY CATS,174,6715.25
HOME SWEET HOME MUG,293,6708.11
CARRIAGE,133,6686.0
CHILDS BREAKFAST SET SPACEBOY ,203,6681.85
SET 40 HEART SHAPE PETIT FOUR CASES,140,6677.0
HEART FILIGREE DOVE  SMALL,246,6671.07
DOORMAT UNION JACK GUNS AND ROSES,155,6635.61
ROUND CAKE TIN VINTAGE RED,250,6600.73
MINT KITCHEN SCALES,304,6599.79
CHILDRENS CUTLERY POLKADOT GREEN ,166,6599.06
ROSE COTTAGE KEEPSAKE BOX ,144,6574.95
ALARM CLOCK BAKELIKE CHOCOLATE,322,6574.26
CHILDRENS APRON SPACEBOY DESIGN,448,6572.49
DOLLY GIRL BABY GIFT SET,120,6567.95
CHILDRENS CUTLERY DOLLY GIRL ,268,6554.6
SET OF 20 VINTAGE CHRISTMAS NAPKINS,489,6530.26
PLASTERS IN TIN SKULLS,439,6505.8
SET OF 12 FAIRY CAKE BAKING CASES,465,6469.45
VICTORIAN SEWING BOX SMALL ,237,6432.11
LARGE ZINC HEART WALL ORGANISER,37,6414.48
BEWARE OF THE CAT METAL SIGN ,359,6405.31
PICTURE FRAME WOOD TRIPLE PORTRAIT,225,6378.15
BLACK/BLUE POLKADOT UMBRELLA,256,6367.94
SET/10 PINK POLKADOT PARTY CANDLES,304,6353.58
PIGGY BANK RETROSPOT ,262,6308.57
MEMO BOARD COTTAGE DESIGN,262,6306.19
BLUE STRIPE CERAMIC DRAWER KNOB,351,6284.25
72 SWEETHEART FAIRY CAKE CASES,501,6274.9
METAL 4 HOOK HANGER FRENCH CHATEAU,337,6273.29
RETROSPOT LARGE MILK JUG,310,6267.15
LANDMARK FRAME CAMDEN TOWN ,62,6257.35
TOY TIDY PINK POLKADOT,289,6229.58
RED STRIPE CERAMIC DRAWER KNOB,333,6224.03
LOVE SEAT ANTIQUE WHITE METAL,41,6210.0
3 DRAWER ANTIQUE WHITE WOOD CABINET,186,6195.73
BOX OF 6 CHRISTMAS CAKE DECORATIONS,163,6155.04
SAVE THE PLANET MUG,270,6151.78
HAND WARMER BABUSHKA DESIGN,288,6149.33
VINTAGE DONKEY TAIL GAME ,215,6146.89
MINI LIGHTS WOODLAND MUSHROOMS,173,6126.09
COFFEE MUG APPLES DESIGN,229,6124.15
CIRCUS PARADE LUNCH BOX ,256,6122.63
LARGE CIRCULAR MIRROR MOBILE,118,6107.05
WALL ART CLASSIC PUDDINGS ,118,6093.49
AGED GLASS SILVER T-LIGHT HOLDER,277,6083.2
JINGLE BELL HEART DECORATION,307,6069.15
CHILDS BREAKFAST SET DOLLY GIRL ,180,6063.0
TEA TIME TEA TOWELS ,2,6045.0
JUMBO BAG DOLLY GIRL DESIGN,317,6008.41
SET OF 60 PANTRY DESIGN CAKE CASES ,504,5982.09
BROCADE RING PURSE ,206,5980.05
DELUXE SEWING KIT ,222,5974.62
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,159,5968.98
4 TRADITIONAL SPINNING TOPS,364,5960.08
DOORSTOP RETROSPOT HEART,236,5938.21
PACK OF 60 DINOSAUR CAKE CASES,529,5934.68
PLACE SETTING WHITE HEART,289,5922.27
SET 3 WICKER OVAL BASKETS W LIDS,32,5922.12
WOODEN HAPPY BIRTHDAY GARLAND,232,5910.15
RED RETROSPOT PEG BAG,354,5880.05
SET 2 TEA TOWELS I LOVE LONDON ,176,5859.25
SET OF 2 TEA TOWELS APPLE AND PEARS,238,5855.24
CHARLOTTE BAG PINK POLKADOT,487,5840.64
RED RETROSPOT SMALL MILK JUG,310,5830.2
PINK FAIRY CAKE CHILDRENS APRON,397,5823.36
CHICK GREY HOT WATER BOTTLE,282,5810.37
PANTRY WASHING UP BRUSH,304,5795.86
BISCUIT TIN 50'S CHRISTMAS,271,5795.2
REGENCY TEA PLATE PINK,224,5793.28
WOODEN OWLS LIGHT GARLAND ,147,5781.35
CANDLEHOLDER PINK HANGING HEART,343,5771.78
ENGLISH ROSE HOT WATER BOTTLE,277,5767.91
BINGO SET,280,5725.71
LANTERN CREAM GAZEBO ,259,5721.42
BOTANICAL GARDENS WALL CLOCK ,80,5719.0
WHITE METAL LANTERN,238,5713.03
PANTRY CHOPPING BOARD,43,5695.86
SOMBRERO ,59,5691.5
SET OF 6 TEA TIME BAKING CASES,319,5687.15
UNION STRIPE WITH FRINGE  HAMMOCK,167,5682.09
SINGLE HEART ZINC T-LIGHT HOLDER,336,5664.78
SET OF 2 WOODEN MARKET CRATES,165,5652.9
DOORMAT TOPIARY,182,5644.46
CHARLOTTE BAG APPLES DESIGN,425,5632.15
WHITE SPOT RED CERAMIC DRAWER KNOB,307,5618.04
QUEENS GUARD COFFEE MUG,233,5603.57
RETROSPOT CHILDRENS APRON,292,5587.87
SET OF 72 PINK HEART PAPER DOILIES,307,5566.68
VINTAGE CHRISTMAS STOCKING ,281,5564.25
RED 3 PIECE RETROSPOT CUTLERY SET,97,5555.13
VINTAGE CHRISTMAS GIFT SACK,193,5527.15
VINTAGE SNAKES & LADDERS,268,5523.53
STRAWBERRY CHARLOTTE BAG,492,5520.95
SET/6 RED SPOTTY PAPER PLATES,325,5496.53
3 STRIPEY MICE FELTCRAFT,402,5478.05
POLKADOT PEN,107,5475.25
PINK BABY BUNTING,204,5448.11
FELTCRAFT PRINCESS OLIVIA DOLL,251,5446.1
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,26,5415.0
PARISIENNE JEWELLERY DRAWER ,225,5399.02
SMALL ZINC HEART WALL ORGANISER,42,5378.8
PHOTO FRAME 3 CLASSIC HANGING,212,5377.45
CLASSIC GLASS COOKIE JAR,248,5358.5
WALL ART BIG LOVE ,97,5340.21
WOODEN ADVENT CALENDAR CREAM,89,5340.0
LUNCH BAG PAISLEY PARK  ,298,5267.75
DOG BOWL CHASING BALL DESIGN,114,5227.93
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,312,5225.22
10 COLOUR SPACEBOY PEN,242,5209.17
LARGE IVORY HEART WALL ORGANISER,134,5142.91
SET OF 5 LUCKY CAT MAGNETS ,187,5121.48
RED RETROSPOT SHOPPER BAG,384,5115.31
CERAMIC CAKE STAND + HANGING CAKES,152,5084.78
CALENDAR PAPER CUT DESIGN,234,5072.64
SMALL IVORY HEART WALL ORGANISER,141,5069.58
SET OF 6 NATIVITY MAGNETS ,145,5058.59
WOODEN ADVENT CALENDAR RED,104,5047.6
RED RETROSPOT BOWL,298,5046.98
RED SPOT CERAMIC DRAWER KNOB,279,5042.4
TREASURE ISLAND BOOK BOX,214,5036.55
3 PIECE SPACEBOY COOKIE CUTTER SET,296,5034.64
BOX OF VINTAGE JIGSAW BLOCKS ,219,5031.57
BLUE SPOT CERAMIC DRAWER KNOB,289,5028.52
CHRISTMAS CRAFT TREE TOP ANGEL,348,5025.58
LIGHT GARLAND BUTTERFILES PINK,130,5018.84
VICTORIAN SEWING BOX LARGE,106,5014.23
PINK 3 PIECE POLKADOT CUTLERY SET,101,5010.4
FULL ENGLISH BREAKFAST PLATE,158,4993.05
HEART IVORY TRELLIS LARGE,270,4988.83
SET OF 4 JAM JAR MAGNETS,214,4986.49
PACK OF 6 PANNETONE GIFT BOXES,139,4982.68
RED RETROSPOT MUG,134,4972.1
PACK OF 20 NAPKINS PANTRY DESIGN,533,4966.32
WHITE SPOT BLUE CERAMIC DRAWER KNOB,276,4960.5
COFFEE MUG PEARS  DESIGN,190,4959.85
3 TIER CAKE TIN GREEN AND CREAM,136,4954.56
ENAMEL MEASURING JUG CREAM,315,4954.29
LANDMARK FRAME COVENT GARDEN ,52,4949.55
BUBBLEGUM RING ASSORTED,213,4894.83
DOORMAT AIRMAIL ,156,4887.82
SET 3 PAPER VINTAGE CHICK PAPER EGG,196,4881.15
DOORMAT RESPECTABLE HOUSE,126,4873.44
"ASSORTED FLOWER COLOUR ""LEIS""",103,4871.45
WALL ART KEEP CALM ,74,4861.75
RED RETROSPOT PLATE ,222,4860.98
WELCOME  WOODEN BLOCK LETTERS,167,4856.52
HOME SWEET HOME METAL SIGN ,246,4850.62
PACK OF SIX LED TEA LIGHTS,174,4849.01
SET OF 3 WOODEN HEART DECORATIONS,389,4829.08
GINGHAM HEART DECORATION,331,4828.38
FELTCRAFT GIRL AMELIE KIT,255,4824.13
HANGING METAL HEART LANTERN,277,4823.5
SET/10 BLUE POLKADOT PARTY CANDLES,227,4798.34
REGENCY TEA STRAINER,142,4789.24
ADVENT CALENDAR GINGHAM SACK,166,4787.68
LANDMARK FRAME NOTTING HILL ,48,4768.15
I'M ON HOLIDAY METAL SIGN,329,4761.55
CERAMIC STRAWBERRY CAKE MONEY BANK,279,4756.91
LANDMARK FRAME OXFORD STREET,54,4755.65
FRYING PAN UNION FLAG,113,4731.36
BATH BUILDING BLOCK WORD,242,4727.83
FELTCRAFT DOLL ROSIE,256,4716.87
HEART IVORY TRELLIS SMALL,221,4715.03
PARTY METAL SIGN ,371,4708.27
RECYCLED ACAPULCO MAT TURQUOISE,221,4694.75
TRAVEL CARD WALLET KEEP CALM,437,4693.4
ANTIQUE GLASS DRESSING TABLE POT,188,4687.01
PAPER BUNTING COLOURED LACE,169,4683.1
SET OF 12 MINI LOAF BAKING CASES,359,4675.61
VINTAGE CHRISTMAS TABLECLOTH,104,4663.52
CHILDS BREAKFAST SET CIRCUS PARADE,182,4656.3
BREAD BIN DINER STYLE MINT,118,4646.56
LANDMARK FRAME LONDON BRIDGE ,47,4641.7
NATURAL SLATE RECTANGLE CHALKBOARD,309,4636.91
SKULL LUNCH BOX WITH CUTLERY ,265,4624.8
LARGE CERAMIC TOP STORAGE JAR,220,4624.5
SET OF 5 PANCAKE DAY MAGNETS,195,4620.97
BREAD BIN DINER STYLE PINK,111,4598.35
5 HOOK HANGER RED MAGIC TOADSTOOL,108,4596.75
BISCUIT TIN VINTAGE CHRISTMAS,232,4576.05
FILIGRIS HEART WITH BUTTERFLY,174,4544.13
TRADTIONAL ALPHABET STAMP SET,174,4531.95
COFFEE MUG CAT + BIRD DESIGN,181,4529.34
BLUE VINTAGE SPOT BEAKER,164,4528.29
PINK PARTY BAGS,144,4481.62
WASHROOM METAL SIGN,292,4462.37
CIRCUS PARADE BABY GIFT SET,89,4444.75
HOT WATER BOTTLE BABUSHKA ,133,4442.0
STRAWBERRY   PICNIC BAG,206,4433.45
