recency,frequency,monetary,R_score,F_score,M_score,RFM,Segment
143,2,982.5699999999999,2,2,4,224,Others
66,2,138.03,3,2,1,321,Others
113,1,612.29,2,1,3,213,Others
267,1,1017.68,1,1,4,114,Others
353,1,383.7,1,1,2,112,Others
78,2,1312.06,2,2,4,224,Others
28,5,2502.84,4,4,5,445,Others
1,5,2056.89,5,4,4,544,Recent
64,1,340.84,3,1,2,312,Others
79,5,2634.26,2,4,5,245,Others
143,1,599.68,2,1,3,213,Others
39,2,192.72,3,2,1,321,Others
19,11,1789.77,4,5,4,454,Others
9,8,4485.72,5,5,5,555,Champions
1,3,1316.66,5,3,4,534,Recent
82,3,348.71000000000004,2,3,2,232,Others
9,6,1933.48,5,5,4,554,Loyal
60,4,1662.28,3,4,4,344,Others
15,1,125.22,4,1,1,411,Others
30,1,349.83000000000004,4,1,2,412,Others
131,1,1089.18,2,1,4,214,Others
92,2,716.35,2,2,3,223,Others
43,3,12601.830000000002,3,3,5,335,Others
29,1,363.95,4,1,2,412,Others
22,4,5568.35,4,4,5,445,Others
20,17,13400.24,4,5,5,455,Big Spenders
30,3,981.18,4,3,4,434,Others
36,1,372.7,3,1,2,312,Others
75,2,1000.39,2,2,4,224,Others
47,2,1161.5,3,2,4,324,Others
198,2,207.79999999999998,1,2,1,121,Others
166,1,95.19999999999999,2,1,1,211,Others
79,1,964.83,2,1,4,214,Others
358,1,168.0,1,1,1,111,Lost
39,2,437.82,3,2,2,322,Others
8,10,3692.28,5,5,5,555,Champions
50,2,603.71,3,2,3,323,Others
16,5,11990.960000000001,4,4,5,445,Others
8,1,269.96,5,1,2,512,Recent
311,2,561.71,1,2,3,123,Others
5,3,2134.01,5,3,5,535,Recent
303,1,238.85,1,1,1,111,Lost
8,7,3781.7400000000002,5,5,5,555,Champions
261,1,456.9,1,1,2,112,Others
289,1,145.92,1,1,1,111,Lost
86,1,351.65,2,1,2,212,Others
23,10,9401.28,4,5,5,455,Big Spenders
2,32,4124.69,5,5,5,555,Champions
40,2,519.61,3,2,3,323,Others
9,2,1020.42,5,2,4,524,Recent
227,1,160.54000000000002,1,1,1,111,Lost
316,1,218.45,1,1,1,111,Lost
36,5,1315.83,3,4,4,344,Others
35,3,657.8,3,3,3,333,Others
21,2,2794.51,4,2,5,425,Others
78,1,440.42,2,1,2,212,Others
247,1,415.7,1,1,2,112,Others
40,1,197.71,3,1,1,311,Others
239,2,511.36,1,2,3,123,Others
3,15,7281.38,5,5,5,555,Champions
4,9,2338.15,5,5,5,555,Champions
234,2,2040.1,1,2,4,124,Others
17,1,196.94000000000003,4,1,1,411,Others
8,1,144.0,5,1,1,511,Recent
39,1,214.89999999999998,3,1,1,311,Others
29,2,646.68,4,2,3,423,Others
211,2,9864.26,1,2,5,125,Others
317,1,452.84999999999997,1,1,2,112,Others
92,2,437.6,2,2,2,222,Others
109,3,418.09999999999997,2,3,2,232,Others
38,10,3338.2200000000003,3,5,5,355,Big Spenders
51,2,618.27,3,2,3,323,Others
19,4,3811.22,4,4,5,445,Others
10,8,3023.08,5,5,5,555,Champions
29,7,1032.58,4,5,4,454,Others
29,10,2599.04,4,5,5,455,Big Spenders
190,5,577.0600000000001,1,4,3,143,Others
59,1,153.12,3,1,1,311,Others
22,1,739.1999999999999,4,1,3,413,Others
79,2,254.18,2,2,2,222,Others
60,1,1579.51,3,1,4,314,Others
78,3,1126.85,2,3,4,234,Others
23,5,2099.54,4,4,5,445,Others
52,1,1193.32,3,1,4,314,Others
74,1,704.0400000000001,2,1,3,213,Others
57,5,3344.38,3,4,5,345,Others
278,1,315.6,1,1,2,112,Others
2,4,2291.19,5,4,5,545,Recent
95,2,713.3,2,2,3,223,Others
29,1,355.53,4,1,2,412,Others
22,1,177.31,4,1,1,411,Others
16,9,3641.24,4,5,5,455,Big Spenders
15,3,1339.41,4,3,4,434,Others
2,20,13689.67,5,5,5,555,Champions
232,1,180.1,1,1,1,111,Lost
276,1,305.1,1,1,2,112,Others
106,2,641.13,2,2,3,223,Others
212,2,2683.82,1,2,5,125,Others
23,9,6620.48,4,5,5,455,Big Spenders
11,7,4478.53,5,5,5,555,Champions
4,3,786.46,5,3,3,533,Recent
10,2,1270.88,5,2,4,524,Recent
57,1,640.5,3,1,3,313,Others
59,4,2163.98,3,4,5,345,Others
90,2,1689.18,2,2,4,224,Others
67,8,6021.9,3,5,5,355,Big Spenders
33,1,671.69,4,1,3,413,Others
239,1,486.1,1,1,2,112,Others
24,3,1174.58,4,3,4,434,Others
115,1,185.9,2,1,1,211,Others
25,3,1013.26,4,3,4,434,Others
128,6,3344.64,2,5,5,255,Big Spenders
130,1,477.91,2,1,2,212,Others
34,4,1775.18,3,4,4,344,Others
5,2,1346.97,5,2,4,524,Recent
22,12,3722.82,4,5,5,455,Big Spenders
155,1,318.05,2,1,2,212,Others
107,3,623.51,2,3,3,233,Others
3,1,314.44,5,1,2,512,Recent
335,1,114.0,1,1,1,111,Lost
331,1,919.98,1,1,3,113,Others
149,2,2209.85,2,2,5,225,Others
11,5,601.98,5,4,3,543,Recent
17,5,4051.17,4,4,5,445,Others
11,4,1643.18,5,4,4,544,Recent
19,1,686.05,4,1,3,413,Others
30,1,91.68,4,1,1,411,Others
11,1,245.1,5,1,1,511,Recent
1,11,3849.78,5,5,5,555,Champions
8,9,4881.88,5,5,5,555,Champions
325,1,63.0,1,1,1,111,Lost
58,1,620.13,3,1,3,313,Others
12,4,3807.15,5,4,5,545,Recent
151,3,2744.0299999999997,2,3,5,235,Others
10,5,2996.05,5,4,5,545,Recent
330,1,225.89999999999998,1,1,1,111,Lost
5,2,610.52,5,2,3,523,Recent
39,4,1970.6,3,4,4,344,Others
25,6,1331.39,4,5,4,454,Others
42,12,17628.46,3,5,5,355,Big Spenders
59,4,1113.02,3,4,4,344,Others
1,4,862.81,5,4,3,543,Recent
15,22,13787.54,4,5,5,455,Big Spenders
4,31,12288.22,5,5,5,555,Champions
4,15,8476.57,5,5,5,555,Champions
8,7,2283.63,5,5,5,555,Champions
28,6,2863.08,4,5,5,455,Big Spenders
372,1,89.14,1,1,1,111,Lost
114,1,4873.8099999999995,2,1,5,215,Others
26,2,1247.61,4,2,4,424,Others
206,1,389.01,1,1,2,112,Others
28,6,1035.8,4,5,4,454,Others
127,4,855.91,2,4,3,243,Others
70,2,869.67,3,2,3,323,Others
7,4,582.1,5,4,3,543,Recent
29,3,957.59,4,3,4,434,Others
8,4,4939.99,5,4,5,545,Recent
80,2,797.71,2,2,3,223,Others
20,1,219.0,4,1,1,411,Others
71,1,283.55,3,1,2,312,Others
7,8,2340.84,5,5,5,555,Champions
15,9,6868.29,4,5,5,455,Big Spenders
292,1,603.42,1,1,3,113,Others
30,10,2712.91,4,5,5,455,Big Spenders
15,15,9736.52,4,5,5,455,Big Spenders
97,3,1149.02,2,3,4,234,Others
29,13,4396.13,4,5,5,455,Big Spenders
1,1,848.55,5,1,3,513,Recent
9,5,4708.86,5,4,5,545,Recent
106,1,353.86,2,1,2,212,Others
4,2,1053.49,5,2,4,524,Recent
151,2,1030.98,2,2,4,224,Others
71,1,238.25,3,1,1,311,Others
5,2,644.95,5,2,3,523,Recent
3,25,5781.73,5,5,5,555,Champions
32,6,2656.13,4,5,5,455,Big Spenders
85,4,997.63,2,4,4,244,Others
4,5,725.07,5,4,3,543,Recent
5,4,1031.41,5,4,4,544,Recent
371,1,427.8,1,1,2,112,Others
28,7,2609.1,4,5,5,455,Big Spenders
11,7,3980.7,5,5,5,555,Champions
71,4,836.33,3,4,3,343,Others
114,1,453.01,2,1,2,212,Others
24,12,18895.91,4,5,5,455,Big Spenders
180,1,236.26000000000002,1,1,1,111,Lost
234,1,383.95,1,1,2,112,Others
353,1,110.39999999999999,1,1,1,111,Lost
315,2,779.5699999999999,1,2,3,123,Others
333,1,234.0,1,1,1,111,Lost
372,1,155.35,1,1,1,111,Lost
78,2,1013.04,2,2,4,224,Others
64,1,427.6,3,1,2,312,Others
134,2,546.43,2,2,3,223,Others
52,7,21279.29,3,5,5,355,Big Spenders
2,11,4196.01,5,5,5,555,Champions
1,209,33719.73,5,5,5,555,Champions
4,5,4090.88,5,4,5,545,Recent
129,1,275.88,2,1,2,212,Others
81,1,4366.78,2,1,5,215,Others
23,6,21429.39,4,5,5,455,Big Spenders
236,3,3010.74,1,3,5,135,Others
281,2,3811.95,1,2,5,125,Others
87,1,112.07999999999998,2,1,1,211,Others
16,13,7857.1,4,5,5,455,Big Spenders
117,2,2791.59,2,2,5,225,Others
52,3,1531.44,3,3,4,334,Others
8,2,1898.52,5,2,4,524,Recent
138,2,494.08,2,2,3,223,Others
317,1,1693.88,1,1,4,114,Others
4,7,6989.63,5,5,5,555,Champions
239,1,1143.6,1,1,4,114,Others
211,1,1351.45,1,1,4,114,Others
60,1,892.47,3,1,3,313,Others
17,5,1386.04,4,4,4,444,Others
20,6,822.23,4,5,3,453,Others
38,8,3981.36,3,5,5,355,Big Spenders
64,2,826.74,3,2,3,323,Others
5,5,2330.92,5,4,5,545,Recent
2,6,2225.91,5,5,5,555,Champions
9,2,574.42,5,2,3,523,Recent
364,1,311.95,1,1,2,112,Others
10,3,463.66,5,3,2,532,Recent
65,1,91.85,3,1,1,311,Others
192,1,324.92,1,1,2,112,Others
374,1,192.60000000000002,1,1,1,111,Lost
257,1,400.53999999999996,1,1,2,112,Others
335,2,545.48,1,2,3,123,Others
53,2,860.41,3,2,3,323,Others
19,1,430.48,4,1,2,412,Others
366,1,254.03,1,1,2,112,Others
10,3,6977.04,5,3,5,535,Recent
187,1,427.58,1,1,2,112,Others
37,3,483.65000000000003,3,3,2,332,Others
178,1,489.31,2,1,2,212,Others
261,3,514.85,1,3,3,133,Others
45,1,229.64000000000001,3,1,1,311,Others
102,1,125.92,2,1,1,211,Others
148,2,1063.46,2,2,4,224,Others
96,2,572.2,2,2,3,223,Others
281,1,166.04,1,1,1,111,Lost
262,1,1542.08,1,1,4,114,Others
3,4,942.34,5,4,4,544,Recent
214,1,92.72,1,1,1,111,Lost
71,2,948.88,3,2,4,324,Others
75,5,1759.5,2,4,4,244,Others
60,1,397.12,3,1,2,312,Others
3,7,1474.72,5,5,4,554,Loyal
6,3,430.15000000000003,5,3,2,532,Recent
3,6,1018.71,5,5,4,554,Loyal
337,2,293.0,1,2,2,122,Others
38,6,6814.64,3,5,5,355,Big Spenders
262,1,215.05,1,1,1,111,Lost
32,2,383.03,4,2,2,422,Others
145,1,417.38,2,1,2,212,Others
283,1,312.38,1,1,2,112,Others
59,4,2612.86,3,4,5,345,Others
173,1,134.1,2,1,1,211,Others
34,2,683.13,3,2,3,323,Others
3,14,5591.42,5,5,5,555,Champions
144,4,2726.77,2,4,5,245,Others
5,25,4022.35,5,5,5,555,Champions
70,2,1118.99,3,2,4,324,Others
66,8,1702.26,3,5,4,354,Others
29,2,325.96000000000004,4,2,2,422,Others
267,4,354.09,1,4,2,142,Others
22,1,871.54,4,1,3,413,Others
31,2,1050.8899999999999,4,2,4,424,Others
97,1,135.18,2,1,1,211,Others
295,1,311.55,1,1,2,112,Others
135,6,1957.1000000000001,2,5,4,254,Others
79,3,1324.5,2,3,4,234,Others
373,1,38.1,1,1,1,111,Lost
8,6,2179.93,5,5,5,555,Champions
211,2,1106.4,1,2,4,124,Others
52,1,521.2,3,1,3,313,Others
138,1,147.12,2,1,1,211,Others
26,2,1568.23,4,2,4,424,Others
283,1,559.12,1,1,3,113,Others
26,7,4036.82,4,5,5,455,Big Spenders
186,6,1607.0600000000002,1,5,4,154,Others
84,2,380.64,2,2,2,222,Others
327,2,599.97,1,2,3,123,Others
282,1,374.0,1,1,2,112,Others
143,2,343.2300000000001,2,2,2,222,Others
58,2,2218.02,3,2,5,325,Others
4,12,1535.77,5,5,4,554,Loyal
236,2,854.99,1,2,3,123,Others
45,3,573.22,3,3,3,333,Others
276,1,298.0,1,1,2,112,Others
9,2,1463.04,5,2,4,524,Recent
25,4,703.47,4,4,3,443,Others
88,1,309.05,2,1,2,212,Others
63,3,1175.22,3,3,4,334,Others
68,2,1378.4,3,2,4,324,Others
214,2,354.12,1,2,2,122,Others
24,1,380.46999999999997,4,1,2,412,Others
186,3,331.0,1,3,2,132,Others
31,1,188.14,4,1,1,411,Others
42,2,372.8,3,2,2,322,Others
205,2,216.5,1,2,1,121,Others
9,28,17654.54,5,5,5,555,Champions
265,1,138.68,1,1,1,111,Lost
18,2,509.58,4,2,3,423,Others
12,5,2919.81,5,4,5,545,Recent
176,2,750.0,2,2,3,223,Others
40,5,2178.67,3,4,5,345,Others
23,8,3075.04,4,5,5,455,Big Spenders
3,5,1662.3,5,4,4,544,Recent
5,5,2483.63,5,4,5,545,Recent
149,2,363.65,2,2,2,222,Others
139,4,3006.15,2,4,5,245,Others
128,1,594.0,2,1,3,213,Others
8,6,1335.19,5,5,4,554,Loyal
17,1,164.23,4,1,1,411,Others
9,37,16587.09,5,5,5,555,Champions
161,1,405.38,2,1,2,212,Others
64,1,176.97,3,1,1,311,Others
88,4,933.7,2,4,3,243,Others
5,2,694.05,5,2,3,523,Recent
35,5,2062.7000000000003,3,4,5,345,Others
312,1,117.85,1,1,1,111,Lost
78,2,415.8,2,2,2,222,Others
22,15,42055.96,4,5,5,455,Big Spenders
24,3,607.53,4,3,3,433,Others
2,7,2160.7,5,5,5,555,Champions
17,4,1063.9,4,4,4,444,Others
15,4,1504.27,4,4,4,444,Others
26,1,114.14,4,1,1,411,Others
64,8,11581.8,3,5,5,355,Big Spenders
55,2,913.54,3,2,3,323,Others
131,3,683.9,2,3,3,233,Others
36,2,604.51,3,2,3,323,Others
288,1,462.95,1,1,2,112,Others
144,6,1603.99,2,5,4,254,Others
16,7,2064.95,4,5,5,455,Big Spenders
31,8,4167.22,4,5,5,455,Big Spenders
2,3,1843.0,5,3,4,534,Recent
9,6,1064.07,5,5,4,554,Loyal
6,4,1387.79,5,4,4,544,Recent
10,1,329.85,5,1,2,512,Recent
1,11,4757.16,5,5,5,555,Champions
306,1,108.07,1,1,1,111,Lost
10,8,4017.54,5,5,5,555,Champions
7,2,266.39,5,2,2,522,Recent
8,8,1856.63,5,5,4,554,Loyal
89,1,771.91,2,1,3,213,Others
10,1,160.18,5,1,1,511,Recent
358,2,1660.9,1,2,4,124,Others
112,1,135.95,2,1,1,211,Others
7,4,452.24,5,4,2,542,Recent
4,86,11189.91,5,5,5,555,Champions
198,1,144.8,1,1,1,111,Lost
212,1,738.6,1,1,3,113,Others
156,1,39.239999999999995,2,1,1,211,Others
158,9,7374.900000000001,2,5,5,255,Big Spenders
30,2,372.21999999999997,4,2,2,422,Others
243,1,390.54,1,1,2,112,Others
19,1,97.5,4,1,1,411,Others
1,2,1239.38,5,2,4,524,Recent
74,2,558.7,2,2,3,223,Others
292,1,535.32,1,1,3,113,Others
3,15,6924.110000000001,5,5,5,555,Champions
31,3,409.5,4,3,2,432,Others
23,2,503.76,4,2,3,423,Others
23,4,414.76,4,4,2,442,Others
4,3,974.4200000000001,5,3,4,534,Recent
85,1,211.32,2,1,1,211,Others
22,4,1226.89,4,4,4,444,Others
196,3,455.88,1,3,2,132,Others
107,3,534.85,2,3,3,233,Others
4,13,9818.82,5,5,5,555,Champions
318,1,120.94999999999999,1,1,1,111,Lost
106,3,149.05,2,3,1,231,Others
12,18,5655.91,5,5,5,555,Champions
174,2,513.7,2,2,3,223,Others
56,1,81.57,3,1,1,311,Others
323,1,229.46999999999997,1,1,1,111,Lost
372,1,50.550000000000004,1,1,1,111,Lost
9,8,1661.8400000000001,5,5,4,554,Loyal
1,13,4810.9400000000005,5,5,5,555,Champions
11,10,3466.2799999999997,5,5,5,555,Champions
53,5,3346.28,3,4,5,345,Others
73,3,789.89,2,3,3,233,Others
7,1,204.0,5,1,1,511,Recent
16,28,7277.7,4,5,5,455,Big Spenders
4,9,2616.38,5,5,5,555,Champions
64,2,689.9,3,2,3,323,Others
1,5,975.36,5,4,4,544,Recent
114,6,6912.0,2,5,5,255,Big Spenders
23,2,661.3199999999999,4,2,3,423,Others
31,3,1247.5,4,3,4,434,Others
11,2,799.48,5,2,3,523,Recent
52,2,1010.18,3,2,4,324,Others
357,1,190.55,1,1,1,111,Lost
55,2,642.77,3,2,3,323,Others
74,2,921.88,2,2,3,223,Others
138,3,881.07,2,3,3,233,Others
80,3,908.46,2,3,3,233,Others
9,2,676.99,5,2,3,523,Recent
273,1,516.42,1,1,3,113,Others
291,1,560.47,1,1,3,113,Others
99,1,305.28000000000003,2,1,2,212,Others
31,2,629.31,4,2,3,423,Others
32,10,3237.54,4,5,5,455,Big Spenders
14,4,1835.91,4,4,4,444,Others
64,2,656.6800000000001,3,2,3,323,Others
15,17,5836.86,4,5,5,455,Big Spenders
212,1,348.15000000000003,1,1,2,112,Others
78,3,1214.41,2,3,4,234,Others
25,3,271.40000000000003,4,3,2,432,Others
250,1,183.4,1,1,1,111,Lost
254,1,307.53,1,1,2,112,Others
72,1,248.61,3,1,1,311,Others
191,1,346.98,1,1,2,112,Others
13,4,1119.49,5,4,4,544,Recent
373,1,205.86,1,1,1,111,Lost
24,2,470.8,4,2,2,422,Others
82,1,115.46000000000001,2,1,1,211,Others
10,2,344.0,5,2,2,522,Recent
1,24,4436.12,5,5,5,555,Champions
192,1,228.8,1,1,1,111,Lost
267,1,177.15,1,1,1,111,Lost
130,1,919.61,2,1,3,213,Others
1,4,729.27,5,4,3,543,Recent
3,26,12627.94,5,5,5,555,Champions
4,5,220.10000000000002,5,4,1,541,Recent
179,1,58.08,2,1,1,211,Others
12,11,28337.38,5,5,5,555,Champions
126,9,3613.63,2,5,5,255,Big Spenders
4,2,303.75,5,2,2,522,Recent
158,2,416.08000000000004,2,2,2,222,Others
3,97,58825.83,5,5,5,555,Champions
9,14,8910.82,5,5,5,555,Champions
28,1,345.82,4,1,2,412,Others
71,5,477.83,3,4,2,342,Others
276,8,7832.47,1,5,5,155,Big Spenders
21,12,1927.3200000000002,4,5,4,454,Others
71,1,74.39999999999999,3,1,1,311,Others
33,10,6010.42,4,5,5,455,Big Spenders
1,28,28882.44,5,5,5,555,Champions
99,1,207.35999999999999,2,1,1,211,Others
234,1,101.19,1,1,1,111,Lost
1,24,6424.09,5,5,5,555,Champions
40,1,243.94,3,1,1,311,Others
3,6,1098.48,5,5,4,554,Loyal
133,1,76.5,2,1,1,211,Others
44,4,1531.6200000000001,3,4,4,344,Others
373,1,350.06,1,1,2,112,Others
60,2,786.54,3,2,3,323,Others
31,7,1488.67,4,5,4,454,Others
1,24,12245.960000000001,5,5,5,555,Champions
12,4,2294.78,5,4,5,545,Recent
138,1,501.14,2,1,3,213,Others
22,8,984.91,4,5,4,454,Others
20,5,1197.81,4,4,4,444,Others
239,1,30.599999999999998,1,1,1,111,Lost
269,1,283.73,1,1,2,112,Others
94,2,922.39,2,2,3,223,Others
90,3,3866.33,2,3,5,235,Others
5,8,2099.64,5,5,5,555,Champions
78,1,259.17,2,1,2,212,Others
94,1,64.0,2,1,1,211,Others
23,3,1073.3,4,3,4,434,Others
262,1,77.3,1,1,1,111,Lost
274,2,109.8,1,2,1,121,Others
86,4,1793.58,2,4,4,244,Others
197,1,3096.0,1,1,5,115,Others
56,5,2607.61,3,4,5,345,Others
11,8,3650.41,5,5,5,555,Champions
22,6,962.39,4,5,4,454,Others
16,7,5064.94,4,5,5,455,Big Spenders
108,3,423.72,2,3,2,232,Others
85,5,2388.75,2,4,5,245,Others
19,1,307.09,4,1,2,412,Others
333,1,110.95,1,1,1,111,Lost
40,4,618.52,3,4,3,343,Others
26,1,228.91,4,1,1,411,Others
10,4,712.8000000000001,5,4,3,543,Recent
29,12,3707.12,4,5,5,455,Big Spenders
14,4,1676.06,4,4,4,444,Others
296,1,1257.8700000000001,1,1,4,114,Others
6,1,486.22,5,1,2,512,Recent
33,4,971.76,4,4,4,444,Others
49,4,1741.22,3,4,4,344,Others
95,4,1201.06,2,4,4,244,Others
9,4,1437.85,5,4,4,544,Recent
22,1,91.8,4,1,1,411,Others
313,1,112.75,1,1,1,111,Lost
122,4,1688.29,2,4,4,244,Others
46,2,1021.48,3,2,4,324,Others
283,1,417.2,1,1,2,112,Others
19,4,791.33,4,4,3,443,Others
36,4,1319.19,3,4,4,344,Others
64,2,712.88,3,2,3,323,Others
27,1,116.00999999999999,4,1,1,411,Others
22,3,468.41,4,3,2,432,Others
4,2,353.65,5,2,2,522,Recent
16,3,2817.03,4,3,5,435,Others
46,1,492.84,3,1,3,313,Others
65,1,282.45,3,1,2,312,Others
26,11,5725.47,4,5,5,455,Big Spenders
45,1,121.18,3,1,1,311,Others
8,9,3957.78,5,5,5,555,Champions
15,10,1701.29,4,5,4,454,Others
268,1,71.4,1,1,1,111,Lost
40,3,1575.89,3,3,4,334,Others
337,1,236.02,1,1,1,111,Lost
11,1,114.60000000000001,5,1,1,511,Recent
19,2,260.68,4,2,2,422,Others
95,2,911.94,2,2,3,223,Others
61,1,117.88,3,1,1,311,Others
136,1,60.7,2,1,1,211,Others
11,4,1797.78,5,4,4,544,Recent
10,6,3401.2400000000002,5,5,5,555,Champions
4,38,9817.12,5,5,5,555,Champions
19,4,870.09,4,4,3,443,Others
10,4,869.46,5,4,3,543,Recent
15,2,250.26000000000002,4,2,2,422,Others
59,6,1223.9,3,5,4,354,Others
30,8,5891.61,4,5,5,455,Big Spenders
94,1,353.48,2,1,2,212,Others
10,3,1197.42,5,3,4,534,Recent
20,3,788.08,4,3,3,433,Others
57,5,1520.58,3,4,4,344,Others
268,1,333.74,1,1,2,112,Others
122,3,533.98,2,3,3,233,Others
127,1,62.63999999999999,2,1,1,211,Others
78,4,819.2900000000001,2,4,3,243,Others
240,2,847.41,1,2,3,123,Others
200,2,163.20000000000002,1,2,1,121,Others
60,2,2155.95,3,2,5,325,Others
3,7,6463.84,5,5,5,555,Champions
273,1,108.21000000000001,1,1,1,111,Lost
202,1,257.7,1,1,2,112,Others
81,1,358.0,2,1,2,212,Others
226,1,160.95,1,1,1,111,Lost
4,14,2806.97,5,5,5,555,Champions
13,7,1357.6,5,5,4,554,Loyal
74,2,605.12,2,2,3,223,Others
212,1,1031.07,1,1,4,114,Others
25,2,744.85,4,2,3,423,Others
17,4,700.73,4,4,3,443,Others
262,1,329.56,1,1,2,112,Others
96,4,663.65,2,4,3,243,Others
112,3,270.40000000000003,2,3,2,232,Others
