Description,Quantity,Revenue,Orders
BATHROOM SCALES FOOTPRINTS IN SAND,51,172.05,20
BATHROOM SCALES RUBBER DUCKS,41,139.35,19
"BATHROOM SCALES, TROPICAL BEACH",16,60.0,10
BATHROOM SET LOVE HEART DESIGN,68,191.0,11
BEACH HUT DESIGN BLACKBOARD,34,144.5,8
BEACH HUT KEY CABINET,21,78.75,9
BEACH HUT MIRROR,49,66.39,8
BEACH HUT SHELF W 3 DRAWERS,70,376.5,20
BEADED CHANDELIER T-LIGHT HOLDER,599,1313.29,34
BEADED CRYSTAL HEART BLUE  LARGE,479,425.71,43
BEADED CRYSTAL HEART BLUE ON STICK,73,78.71,11
BEADED CRYSTAL HEART BLUE SMALL,77,99.88,12
BEADED CRYSTAL HEART GREEN LARGE,816,707.7,50
BEADED CRYSTAL HEART GREEN ON STICK,142,120.38,13
BEADED CRYSTAL HEART GREEN SMALL,101,124.11,16
BEADED CRYSTAL HEART PINK LARGE,552,526.38,51
BEADED CRYSTAL HEART PINK ON STICK,115,113.09,12
BEADED CRYSTAL HEART PINK SMALL,166,241.38,34
BEADED LOVE HEART JEWELLERY SET,10,8.5,1
BEADED PEARL HEART WHITE LARGE,77,127.04999999999998,10
BEADED PEARL HEART WHITE ON STICK,469,462.17,25
BELL HEART ANTIQUE GOLD,12,24.96,1
BELL HEART DECORATION,252,387.0,9
BELLE JARDINIERE CUSHION COVER,696,2604.48,175
BEST DAD CANDLE LETTERS,31,26.349999999999998,8
BEWARE OF THE CAT METAL SIGN ,4027,6405.3099999999995,359
BICYCLE PUNCTURE REPAIR KIT ,1731,3338.8,103
BICYCLE SAFTEY WALL ART,458,2371.94,39
BIG DOUGHNUT FRIDGE MAGNETS,1266,1076.1,85
BIG POLKADOT MUG,6,2.34,1
BILI NUT AND WOOD NECKLACE,48,48.0,5
BINGO SET,1553,5725.71,280
BIRD BOX CHRISTMAS TREE DECORATION,22,18.7,4
BIRD DECORATION GREEN POLKADOT,390,331.5,37
BIRD DECORATION RED RETROSPOT,760,646.0,57
BIRD HOUSE HOT WATER BOTTLE,618,1564.61,154
BIRD ON BRANCH CANVAS SCREEN,11,21.45,1
BIRDCAGE DECORATION TEALIGHT HOLDER,650,770.32,67
BIRDHOUSE DECORATION MAGIC GARDEN,520,645.44,72
BIRDHOUSE GARDEN MARKER ,1417,1936.85,76
BIRDS MOBILE VINTAGE DESIGN,183,1100.21,69
BIRTHDAY BANNER TAPE,24,30.0,1
BIRTHDAY BANQUET GIFT WRAP,975,393.5,32
"BIRTHDAY CARD, RETRO SPOT",1848,758.88,126
BIRTHDAY PARTY CORDON BARRIER TAPE,436,548.63,81
BISCUIT TIN 50'S CHRISTMAS,2060,5795.2,271
BISCUIT TIN VINTAGE CHRISTMAS,1635,4576.05,232
BISCUIT TIN VINTAGE GREEN,434,2691.88,114
BISCUIT TIN VINTAGE LEAF,24,64.56,3
BISCUIT TIN VINTAGE RED,572,3609.8,146
BISCUITS SMALL BOWL LIGHT BLUE,1039,441.36,79
BLACK 3 BEAD DROP EARRINGS,6,17.700000000000003,1
BLACK AND WHITE CAT BOWL,1357,2661.8999999999996,43
BLACK AND WHITE DOG BOWL,1194,2584.68,48
BLACK BAROQUE CARRIAGE CLOCK,17,149.67,7
BLACK BAROQUE WALL CLOCK ,44,333.6,14
BLACK BIRD GARDEN DESIGN MUG,105,46.11,15
BLACK CANDELABRA T-LIGHT HOLDER,694,702.8000000000001,37
BLACK CHAMPAGNE GLASS,1517,621.87,33
BLACK CHERRY LIGHTS,8,54.0,1
BLACK CHRISTMAS FLOCK DROPLET ,24,30.0,1
BLACK CHRISTMAS TREE 120CM,209,503.85,23
BLACK CHRISTMAS TREE 60CM,554,433.70000000000005,22
BLACK CHUNKY BEAD BRACELET W STRAP,11,98.44999999999999,7
BLACK CRYSTAL DROP EARRINGS,7,20.650000000000002,2
BLACK DIAMANTE EXPANDABLE RING,21,89.25,5
BLACK DIAMOND CLUSTER NECKLACE,2,17.9,1
BLACK DINER WALL CLOCK,53,450.5,33
BLACK DROP CRYSTAL NECKLACE,12,35.400000000000006,2
BLACK DROP EARRINGS W LONG BEADS,1,2.95,1
BLACK EAR MUFF HEADPHONES,37,198.35000000000002,17
BLACK ENAMEL FLOWER RING,64,188.8,10
BLACK ENCHANTED FOREST PLACEMAT,585,893.25,42
BLACK FEATHER CHRISTMAS DECORATION,96,18.240000000000002,7
BLACK FINE BEAD NECKLACE W TASSEL,1,5.95,1
BLACK FLOWER CANDLE PLATE,7,5.949999999999999,2
BLACK GEMSTONE BRACELET,3,20.849999999999998,3
BLACK GEMSTONE NECKLACE 45CM,4,51.0,4
BLACK GLASS BRACELET W HEART CHARMS,3,14.850000000000001,1
BLACK GRAND BAROQUE PHOTO FRAME,48,93.0,7
BLACK HEART CARD HOLDER,4844,12261.9,166
BLACK KITCHEN SCALES,504,4159.53,183
BLACK LOVE BIRD CANDLE,201,191.49,25
BLACK LOVE BIRD T-LIGHT HOLDER,145,247.46,13
BLACK MEDIUM GLASS CAKE STAND,19,38.69,8
BLACK MINI TAPE MEASURE ,158,121.3,30
BLACK ORANGE SQUEEZER,138,57.96,21
BLACK PHOTO ALBUM ,15,7.5,3
BLACK PIRATE TREASURE CHEST,437,509.36999999999995,81
BLACK RECORD COVER FRAME,11406,39064.55,313
BLACK SIL'T SQU CANDLE PLATE ,16,33.6,2
BLACK SILOUETTE CANDLE PLATE,137,116.44999999999999,20
BLACK SMALL GLASS CAKE STAND,61,54.99,12
BLACK SQUARE TABLE CLOCK,95,225.48999999999998,12
BLACK STITCHED WALL CLOCK,697,686.23,29
BLACK SWEETHEART BRACELET,67,284.75,24
BLACK TEA TOWEL CLASSIC DESIGN,694,608.52,84
"BLACK TEA,COFFEE,SUGAR JARS",451,779.4499999999999,45
BLACK VINT ART DEC CRYSTAL BRACELET,1,6.75,1
BLACK VINT ART DEC CRYSTAL NECKLACE,8,68.0,5
BLACK VINTAGE  CRYSTAL EARRINGS,11,41.25,6
BLACK WINE GLASS,1672,699.96,19
BLACK+WHITE NECKLACE W TASSEL,13,87.35,5
BLACK/BLUE POLKADOT UMBRELLA,1133,6367.9400000000005,256
BLACK/WHITE GLASS/SILVER BRACELET,7,62.64999999999999,3
BLACKCHRISTMAS TREE 30CM,1,1.25,1
BLING KEY RING STAND,6,6.25,3
BLOND DOLL DOORSTOP,115,149.25,14
BLOSSOM  IMAGES NOTEBOOK SET,498,640.5,25
BLOSSOM IMAGES GIFT WRAP SET,751,663.6,93
BLOSSOM IMAGES SCRAP BOOK SET,1,4.95,1
BLUE  DIAMANTE PEN IN GIFT BOX,61,276.75,21
BLUE  TILE HOOK,85,213.14999999999998,15
BLUE  VOILE LAMPSHADE,86,234.5,9
BLUE & WHITE BREAKFAST TRAY,73,221.35000000000002,21
BLUE 3 PIECE POLKADOT CUTLERY SET,1170,4213.34,97
BLUE BIRDHOUSE DECORATION,376,223.3,38
BLUE BLOSSOM HAIR CLIP,64,67.2,6
BLUE BREAKFAST CUP AND SAUCER ,4,11.8,3
BLUE BUNNY EASTER EGG BASKET,157,230.24999999999997,3
BLUE CALCULATOR RULER,462,546.76,58
BLUE CAT BISCUIT BARREL PINK HEART,57,111.14999999999999,9
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,976,512.8000000000001,90
BLUE CHECK BAG W HANDLE 34X20CM,17,14.11,5
BLUE CHENILLE SHAGGY CUSHION COVER ,43,43.15,12
BLUE CIRCLES DESIGN MONKEY DOLL,63,160.64999999999998,25
BLUE CIRCLES DESIGN TEDDY,52,132.6,20
BLUE CLIMBING HYDRANGA ART FLOWER,38,52.5,3
BLUE COAT RACK PARIS FASHION,428,1979.64,134
BLUE CRUSOE CHECK LAMPSHADE,9,3.78,3
BLUE CUSHION COVER WITH FLOWER,29,201.55,9
BLUE DAISY MOBILE,172,138.76,12
BLUE DELPHINIUM ARTIFICIAL FLOWER,99,188.37000000000003,6
BLUE DINER WALL CLOCK,907,7528.93,338
BLUE DISCO HANDBAG,31,62.629999999999995,10
BLUE DRAGONFLY HELICOPTER,47,373.65000000000003,34
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1574,1924.18,122
BLUE EASTER EGG HUNT START POST,9,17.55,4
BLUE EGG  SPOON,1718,258.71999999999997,71
BLUE FELT EASTER EGG BASKET,350,577.4999999999999,64
BLUE FELT HANGING HEART WITH FLOWER,6,5.1,1
BLUE FLOCK CUSHION COVER ,6,12.5,2
BLUE FLOCK GLASS CANDLEHOLDER,644,259.96,10
BLUE FLOWER DES PURSE,44,43.66,6
BLUE FLY SWAT,135,114.21000000000001,42
BLUE GEISHA GIRL ,20,75.0,10
BLUE GIANT GARDEN THERMOMETER,427,2517.67,162
BLUE GINGHAM ROSE CUSHION COVER,2,11.9,1
BLUE GLASS CHUNKY CHARM BRACELET,9,80.55,6
BLUE GLASS GEMS IN BAG,427,291.25,19
BLUE GREEN EMBROIDERY COSMETIC BAG,3,11.690000000000001,3
BLUE HANGING GINGHAM EASTER HEN,32,13.44,5
BLUE HAPPY BIRTHDAY BUNTING,1950,10107.52,355
BLUE HARMONICA IN BOX ,7434,9222.63,517
BLUE HEART COMPACT MIRROR,125,191.25,12
BLUE HOLE PUNCH,13,16.25,7
BLUE JUICY FRUIT PHOTO FRAME,82,209.1,29
BLUE KNITTED EGG COSY,150,83.46,25
BLUE KNITTED HEN ,91,150.14999999999998,14
BLUE LEAVES AND BEADS PHONE CHARM,1,1.25,1
BLUE MONTE CARLO HANDBAG,24,46.8,1
BLUE MURANO TWIST BRACELET,20,85.0,5
BLUE MURANO TWIST NECKLACE,4,39.8,3
BLUE NETTING STORAGE HANGER,8,15.6,6
